Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Master
RBIINDID|||RBIINDNAME~~~
961|||ARTISANS AND CRAFTSMEN (ADVANCES AVAILED OF FOR PURSUING SELF-EMPLOYED ACTIVITIES BY CARPENTERS, MASONS, BRICK-MAKERS, POTTERS, TAILORS, JEWELLERS, HAIR-DRESSERS, BLACK-SMITHS, COBBLERS, WASHERMEN, PLUMBERS, ELECTRICIANS, WEAVERS, ETC)~~~
371|||BICYCLES, CYCLE-RICKSHAWS, BULLOCK-CARTS, HACKNEY CARRIAGES, HAND-CARTS AND THEIR PARTS~~~
451|||BIOGAS~~~
01402|||BIOTECHNOLOGY INCLUDING TISSUE CULTURE SERVICES RELATED TO AGRICULTURE)~~~
93003|||BPOS (BUSINESS PROCESS OUTSOURCING), CALL CENTRES, IT ENABLED SERVICES~~~
395|||BRICKS AND TILES~~~
35101|||BUILDING AND REPAIRING OF SHIPS AND FISHING TRAWLERS [THIS CLASS INCLUDES SHIP BUILDING AND REPAIRIN~~~
45004|||BUILDING INSTALLATION AND BUILDING COMPLETION (CONSTRUCTION CONTRACTORS))~~~
632|||BUILDING MATERIALS, HARDWARE AND SANITARY FIXTURES - RETAIL TRADE~~~
605|||BUILDING MATERIALS, HARDWARE AND SANITARY FIXTURES - WHOLESALE TRADE~~~
603|||CARPETS~~~
51902|||CARPETS)~~~
27301|||CASTING OF IRON AND STEEL)~~~
27302|||CASTING OF NON-FERROUS METALS)~~~
11|||CEREALS~~~
203|||CHEWING ITEMS LIKE PAN MASALA, SCENTED SUPARI, CHEWING LIME, CATECHU (KATTHA), ETC OTHER THAN TOBACCO PRODUCTS~~~
65922|||CHIT FUNDS/KURI COMPANIES)~~~
892|||CHIT FUNDS/SAVINGS & LOAN COMPANIES~~~
65103|||CO-OPERATIVE BANKS    )~~~
820|||CO-OPERATIVE BANKS (INCLUDING NON-AGRICULTURAL CREDIT SOCIETIES)~~~
65904|||CO-OPERATIVE MARKETING SOCIETIES (INCLUDING LOANS TO CO-OPERATIVE BANKS FOR RE-LENDING TO CO-OPERATI~~~
110|||COAL MINING INCLUDING LIGNITE~~~
23|||COFFEE CULTIVATION~~~
15407|||COFFEE CURING, ROASTING , GRINDING AND BLENDING ETC. INCLUDING MANUFACTURE OF INSTANT COFFEE, CHICOR~~~
218|||COFFEE CURING, ROASTING, GRINDING AND BLENDING ETC, INCLUDING MANUFACTURE OF INSTANT COFFEE~~~
24|||COFFEE ESTATE~~~
236|||COIR AND COIR PRODUCTS INCLUDING COIR FIBER AND YARN MATTING, CARPETS, ETC~~~
17203|||COIR AND COIR PRODUCTS INCLUDING COIR FIBRE AND YARN MATTING ETC.)~~~
913|||COLD STORAGE~~~
63002|||COLD STORAGE)~~~
40103|||COLLECTION AND DISTRIBUTION OF  ELECTRIC ENERGY TO HOUSEHOLDS, INDUSTRIAL, COMMERCIAL AND OTHER USER~~~
41001|||COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER)~~~
810|||COMMERCIAL BANKS~~~
65101|||COMMERCIAL BANKS)~~~
500|||CONSTRUCTION (WOULD COVER BORROWERS WHOSE MAIN OCCUPATION IS CONSTRUCTION AND MAINTENANCE OF RAILWAYS, BUILDINGS, ROADS, DARNS, BRIDGES, TUNNELS, PIPELINES, PORTS, HARBORS, RUNWAYS, TURNKEY PROJECTS, ETC AND ALLIED ACTIVITIES LIKE HEATING AND AIR-CONDITIO~~~
01155|||CONSTRUCTION OF PUMP HOUSES, CATTLE SHEDS, POULTRY SHEDS ETC.)~~~
13|||COTTON - CULTIVATION~~~
616|||COTTON - WHOLESALE TRADE~~~
01401|||COTTON GINNING, CLEANING AND BAILING)~~~
231|||COTTON GINNING, CLEANING AND BALING~~~
17101|||COTTON TEXTILE: PREPARATION AND SPINNING OF COTTON FIBRE INCLUDING BLENDED COTTON; WEAVING, MANUFACT~~~
232|||COTTON TEXTILES (SPINNING, WEAVING, DYEING, PRINTING, SHRINKING, SANFORIZING, BLEACHING, MERCERISING AND FINISHING, ETC) INCLUDING POWERLOOMS -- WEAVING AND FINISHING~~~
51401|||COTTON)~~~
01157|||CULTURING MICRO-ORGANISM FOR AGRICULTURE RELATED PURPOSE, BIO-FERTILIZERS, VERMICULTURE ETC.)~~~
26904|||CUTTING, SHAPING AND FINISHING OF STONE [INCLUDES CUTTING, SHAPING AND FINISHING STONE FOR USE IN CO~~~
711|||CYCLE-RICKSHAWS, HAND AND ANIMAL DRAWN CARTS -- INCLUDE(I) TRANSPORT BY ANIMALS LIKE HORSES, ELEPHANTS, MULES, CAMELS, ETC(II) RICKSHAW PULLERS, HAND CART PULLERS, PORTERS, COOLIES, ETC(III) BULLOCK-CARTS, EKKAS, TONGAS, ETC~~~
15201|||DAIRY PRODUCTS: MANUFACTURE OF DAIRY PRODUCTS [INCLUDES MILK POWDER, ICE-CREAM POWDER, CONDENSED MIL~~~
91|||DAIRYING~~~
01201|||DAIRYING: -INCLUDING CATTLE (INCLUDING YAK AND BUFFALO) BREEDING, REARING AND RANCHING ETC.;  PRODUC~~~
72301|||DATA PROCESSING AND DATABASE ACTIVITIES)~~~
932|||DATA PROCESSING, COMPUTER SERVICE BUREAU INCLUDING SHOULD BE CODED UNDER )~~~
65911|||DEVELOPMENTAL FINANCIAL INSTITUTIONS (E.G. IDBI, EXIM BANK, IFCI, ICICI,  NHB, DFHI, SFCS, ETC.))~~~
36902|||DIAMOND CUTTING AND POLISHING)~~~
631|||DIAMONDS, GEMS & JEWELLERY - RETAIL TRADE~~~
604|||DIAMONDS, GEMS AND JEWELLERY - WHOLESALE TRADE~~~
51301|||DIAMONDS, GEMS AND JEWELRY)~~~
221|||DISTILLERIES, BREWERIES, SOFT DRINKS, SYRUPS AND CARBONATED WATER DRINKS' MANUFACTURE, WINE INDUSTRIES, COUNTRY LIQUOR, TEDDY, MALT LIQUOR, ETC~~~
15501|||DISTILLING, RECTIFYING AND BLENDING OF SPIRITS; ETHYL ALCOHOL PRODUCTION FROM FERMENTED MATERIALS; M~~~
611|||DISTRIBUTION OF FERTILIZERS (ADVANCES GRANTED TO FERTILIZER FACTORIES FOR DISTRIBUTION OF FERTILIZERS ARE ALSO TO BE FACTORIES FOR DISTRIBUTION OF FERTILIZERS ARE ALSO TO BE~~~
18201|||DRESSING (INCLUDES SCRAPING, CURING, TANNING, BLEACHING) AND DYEING OF FUR; MANUFACTURE OF ARTICLES~~~
323|||DRUGS AND PHARMACEUTICALS -- INCLUDING AYURVEDIC, HOMEOPATHIC AND UNANI MEDICINES~~~
216|||EDIBLE NUTS PROCESSING UNITS~~~
94005|||EDUCATION - LOANS TO INDIVIDUALS FOR PURSUIT OF STUDIES (LOANS TO EDUCATIONAL INSTITUTIONS SHOULD BE~~~
996|||EDUCATION -- LOANS TO INDIVIDUALS FOR PURSUIT OF STUDIES (LOANS TO EDUCATIONAL INSTITUTIONS SHOULD BE INCLUDED UNDER AND NOT HERE)~~~
363|||ELECTRICAL MACHINERY AND GOODS -- INCLUDES MANUFACTURE OF:(I) ELECTRICAL MACHINERY -- APPARATUS AND PARTS, ELECTRIC MOTORS, GENERATORS, TRANSFORMERS, CLUTCHES & BRAKES, INSULATED WIRES & CABLES, ETC(II) CENTRAL CONDITIONERS, HIGH GRID ELECTRIC CABLES AND~~~
364|||ELECTRONIC MACHINERY AND GOODS -- INCLUDES MANUFACTURE OF:(I) TELEVISION TRANSMISSION AND RECEIVERS, APPARATUS FOR RADIO BROADCASTING AND RECEPTION, RADAR APPARATUS AND RADIO REMOTE CONTROL APPARATUS, RADIO TELEPHONY/TELEGRAPHY, ETC(II) COMPUTERS, PRINTER~~~
17209|||EMBROIDERY WORK, MAKING OF LACES AND FRINGES; ZARI AND ZARI WORK; MAKING OF ORNAMENTAL TRIMMINGS;  M~~~
421|||ENERGISATION OF PUMPSETS (ADVANCES GRANTED TO STATE ELECTRICITY BOARDS FOR ENERGISATION OF PUMPSETS SHOULD BE SHOWN HERE)~~~
40102|||ENERGISATION OF PUMPSETS/WELLS (ADVANCES GRANTED TO STATE ELECTRICITY BOARDS FOR ENERGISATION OF PUM~~~
11101|||EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS )~~~
140|||EXTRACTION OF CRUDE PETROLEUM AND PRODUCTION OF NATURAL GAS~~~
14202|||EXTRACTION OF SALT [ INCLUDES SALT MINING, CRUSHING AND SCREENING  AND SALT PRODUCTION BY SOLAR EVAP~~~
65921|||FACTORING/HIRE PURCHASE FINANCE COMPANIES)~~~
01154|||FARM IRRIGATION: LIFT IRRIGATION, SPRINKLER/DRIP IRRIGATION,  TUBE-WELL IRRIGATION, DEVELOPMENT OF I~~~
01151|||FARM MACHINERY AND IMPLEMENTS: PURCHASE OF TRACTORS, HARVESTER, TRAN PLANTERS, PUMP SETS ETC. AGRICU~~~
01152|||FARM TRANSPORT VEHICLES/ACCESSORIES: PURCHASE OF TRUCKS, MINI TRUCKS, JEEPS, PICK UP VANS, TRAILERS,~~~
65902|||FARMERS SERVICE SOCIETIES (FSS) AND LARGE SIZED ADIVASI MULTI-PURPOSE SOCIETIES (LAMPS))~~~
832|||FARMERS SERVICE SOCIETIES (FSS) AND LARGE SIZED ADIVASI RADIO BEACONS, ETC~~~
322|||FERTILIZERS (FOR PRODUCTION ONLY)~~~
51403|||FERTILIZERS (INCLUDING ADVANCES GRANTED TO FACTORIES FOR DISTRIBUTION OF FERTILIZERS) AND PESTICIDES~~~
621|||FERTILIZERS - RETAIL TRADE~~~
396|||FIBER GLASS PRODUCTS~~~
65926|||FINANCIAL LEASING COMPANIES (EQUIPMENT LEASING COMPANIES))~~~
15102|||FISH: PROCESSING, CANNING, FREEZING AND PRESERVING OF FISH, CRUSTACEAN AND SIMILAR FOODS [INCLUDES S~~~
18|||FLORICULTURE AND HORTICULTURE INCLUDING TREE NURSERIES AND MEDICINAL PLANTS~~~
51204|||FOOD AND BEVERAGES [INCLUDES WHOLESALE OF  FRUITS AND VEGETABLES, DAIRY PRODUCTS, EGGS & EDIBLE OILS~~~
51202|||FOOD GRAINS (CEREALS AND PULSES))~~~
614|||FOOD PROCUREMENT~~~
51201|||FOOD PROCUREMENT)~~~
615|||FOODGRAINS~~~
95015|||FOR INVESTMENT IN SHARES (INCLUDING IPOS/ESOPS), CONVERTIBLE BONDS, CONVERTIBLE DEBENTURES, AND UNIT~~~
94|||FORESTRY AND LOGGING~~~
02001|||FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES:)~~~
28901|||FORGING, PRESSING , STAMPING AND ROLL-FORMING OF METAL; POWDER METALLURGY)~~~
60204|||FREIGHT TRANSPORT BY MOTOR VEHICLES (TRUCKS, BUSES, TEMPOS ETC.) INCLUDING REFRIGERATED VANS)~~~
15103|||FRUITS & VEGETABLES: PROCESSING, CANNING AND PRESERVING OF FRUITS AND VEGETABLES [INCLUDES SUN DRYIN~~~
27|||FRUITS - CULTIVATION~~~
28|||FRUITS - ESTATE~~~
430|||GAS AND STEAM GENERATION AND DISTRIBUTION THROUGH PIPES~~~
397|||GEMS AND JEWELLERY AND RELATED ARTICLES AND CUTTING AND POLISHING OF DIAMONDS/PRECIOUS STONES~~~
80001|||GENERAL  PRIMARY AND SECONDARY EDUCATION)~~~
45001|||GENERAL CONSTRUCTION (INCLUDING  ALTERATION,  ADDITION, REPAIR AND MAINTENANCE)  OF  RESIDENTIAL BUI~~~
627|||GENERAL MERCHANDISE TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES~~~
625|||GENERAL MERCHANDISE TRANSACTED THROUGH PRIVATE RETAIL TRADERS~~~
40104|||GENERATION AND DISTRIBUTION OF  BIO-GAS ENERGY)~~~
40105|||GENERATION AND DISTRIBUTION OF  SOLAR ENERGY  AND OTHER NON-CONVENTIONAL  SOURCES (WIND MILLS ETC.))~~~
40101|||GENERATION OF  ELECTRICITY: HYDRO-ELECTRIC POWER PLANTS , COAL  BASED THERMAL  POWER PLANTS, OIL-BAS~~~
410|||GENERATION OF ELECTRICITY~~~
392|||GLASS AND GLASS PRODUCTS, FLOAT GLASS, STRUCTURAL CLAY PRODUCTS, SANITARYWARE AND FITTINGS, EARTHENWARE, POTTERY, CHINAWARE, PORCELAINWARE~~~
15301|||GRAIN MILL PRODUCTS: MANUFACTURE OF GRAIN MILL PRODUCTS [ INCLUDES FLOUR, RICE AND DAL  MILLING; HUS~~~
01122|||GROWING AND PROCESSING OF TEA OR MATE LEAVES BY TEA ESTATES/GARDENS HAVING THEIR OWN PROCESSING AND~~~
01123|||GROWING OF  COFFEE OR COCOA BEANS)~~~
01129|||GROWING OF ANY OTHER PLANTATION CROPS,  N.E.C. )~~~
01101|||GROWING OF CEREALS)~~~
01105|||GROWING OF COTTON)~~~
01301|||GROWING OF CROPS COMBINED WITH FARMING OF ANIMALS (MIXED FARMING). [THIS INCLUDES CROP GROWING IN CO~~~
01126|||GROWING OF EDIBLE NUTS INCLUDING COCONUTS)~~~
01109|||GROWING OF FLOWERS (FLORICULTURE), HORTICULTURAL SPECIALTIES AND NURSERY PRODUCTS )~~~
01125|||GROWING OF FRUIT CROPS INCLUDING SETTING UP AND MAINTENANCE OF ORCHARD; ACTIVITIES INCIDENTAL TO GRO~~~
01106|||GROWING OF JUTE, MESTA, SUN HEMP OR OTHER KINDRED/ OTHER VEGETABLE TEXTILE FIBRE PLANTS (INCLUDES GR~~~
01103|||GROWING OF OILSEEDS   INCLUDING   PEANUTS OR SOYA BEANS)~~~
01119|||GROWING OF OTHER CROPS,  N.E.C. (INCLUDES GROWING OF  POTATOES, JAMS, SWEET POTATOES OR  CASSAVA; HO~~~
01111|||GROWING OF PLANTS USED CHIEFLY  IN PHARMACY ( MEDICINE PLANTS )  OR INSECTICIDE, OR SIMILAR PURPOSE~~~
01102|||GROWING OF PULSES)~~~
01124|||GROWING OF RUBBER TREES; HARVESTING OF LATEX AND TREATMENT ON THE PLANTATION  OF THE LIQUID LATEX FO~~~
01127|||GROWING OF SPICE CROPS INCLUDING: SPICE LEAVES (E.G. BAY, THYME, BASIL); SPICE SEEDS (E.G. ANISE, CO~~~
01104|||GROWING OF SUGARCANE OR SUGAR BEET)~~~
01121|||GROWING OF TEA OR MATE LEAVES BY TEA ESTATES/GARDENS NOT HAVING THEIR OWN PROCESSING UNITS)~~~
01107|||GROWING OF TOBACCO, INCLUDING ITS PRELIMINARY PROCESSING IN THE FARM)~~~
01108|||GROWING OF VEGETABLES (OLERICULTURE), INCLUDING SINGHARA, MAKHANA, CHILLES AND MUSHROOM CULTIVATION)~~~
602|||HANDICRAFTS~~~
51901|||HANDICRAFTS)~~~
17105|||HANDLOOM TEXTILES AND KHADI (SPINNING WEAVING DYEING, PRINTING, ETC.))~~~
237|||HANDLOOM TEXTILES AND KHADI (SPINNING, WEAVING, DYEING, PRINTING, ETC)~~~
72101|||HARDWARE CONSULTANCY.[THIS CLASS INCLUDES CONSULTANCY ON TYPE AND CONFIGURATION OF HARDWARE WITH OR~~~
361|||HEAVY ENGINEERING (OTHER THAN ELECTRICAL) -- INCLUDES MANUFACTURE OF:(I) TRACTORS, HARVESTERS AND HEAVY AGRICULTURAL MACHINERY AND EQUIPMENT'S(II) MACHINERY FOR TEXTILE MILLS, JUTE MILLS, SUGAR MILLS, TEA MACHINERY, RICE MILLS, FLOUR MILLS, ETC(III) COAL~~~
321|||HEAVY INDUSTRIAL CHEMICALS (CAUSTIC SODA, SODA ASH, ETC) BASIC HEAVY INDUSTRIAL ORGANIC AND INORGANIC CHEMICALS AND GASES (SUCH AS ACIDS, ALKALIES, ACETYLENE, OXYGEN, NITROGEN AMENIA, ETC)~~~
80002|||HIGHER EDUCATION )~~~
870|||HIRE PURCHASE AND FINANCE COMPANIES~~~
85101|||HOSPITAL ACTIVITIES.[INCLUDES THE ACTIVITIES OF  GENERAL AND SPECIALIZED HOSPITALS, SANATORIA, ASYLU~~~
940|||HOTELS AND RESTAURANTS -- INCLUSIVE OF ROOMING/GUEST HOUSES, LODGING PLACES, CAMPS AND OTHER DRINKING/EATING PLACES, HOUSEBOATS, ETC~~~
55101|||HOTELS, MOTELS AND RESORTS; CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION [RESTAURAN~~~
912|||HOUSING BOARDS, MUNICIPAL CORPORATIONS, MUNICIPALITIES, WATER DRAINAGE AND SEWERAGE BOARDS AND SUCH OTHER PUBLIC UTILITIES~~~
897|||HOUSING FINANCE COMPANIES/CORPORATIONS~~~
65912|||HOUSING FINANCE COMPANIES/CORPORATIONS, OTHER SPECIALISED INSTITUTIONS GRANTING CREDIT FOR HOUSE PUR~~~
991|||HOUSING LOANS UNDER NATIONAL HOUSING BANK SCHEME INCLUSIVE OF LOANS TO STAFF UNDER NATIONAL HOUSING BANK SCHEME~~~
94002|||HOUSING LOANS UNDER NATIONAL HOUSING BANK SCHEME(INCLUDING, LOANS TO STAFF UNDER NHB SCHEME), OTHER~~~
214|||INDIGENOUS SUGAR,'BOORA','GUR' AND 'KHANDSARI' _ INCLUDES CANDY FROM PALM JUICE, SUGARCANE, ETC~~~
382|||INDIGO, INK (PRINTING, STAMPING AND WRITING) AND GLUE (GUM)~~~
82|||INDIRECT FINANCE TO AGRICULTURE (PROVIDED THROUGH INSTITUTIONAL AGENCIES)~~~
01182|||INDIRECT FINANCE TO AGRICULTURE EXCLUDING THE FOLLOWING CATEGORIES )~~~
67103|||INDUSTRIAL DEVELOPMENT BOARDS/CORPORATIONS/FEDERATIONS INCLUDING ALL STATE DEVELOPMENT BOARDS AND~~~
899|||INDUSTRIAL DEVELOPMENT BOARDS/CORPORATIONS/FEDERATIONS INCLUDING ALL STATE DEVELOPMENT BOARDS AND OTHER DEVELOPMENTAL INSTITUTIONS (EG TEA BOARDS, COFFEE BOARDS, KHADI DEVELOPMENT BOARD, ETC)~~~
722|||INLAND WATER TRANSPORT INCLUDING SUPPORT SERVICES~~~
61202|||INLAND WATER TRANSPORT)~~~
894|||INVESTMENT COMPANIES/FINANCE CORPORATIONS~~~
351|||IRON AND STEEL -- BASIC INDUSTRIES (SMELTING, ROLLING, RE-ROLLING, COLD ROLLING, WIRE-DRAWING, ETC) INCLUDES FOUNDRIES ENGAGED IN CASTING AND FORGING OF IRON AND STEEL, SPONGE IRON, STEEL PIPES AND TUBES, MANUFACTURING OF FERRO-ALLOYS~~~
120|||IRON ORE MINING~~~
72901|||IT PLACEMENT SERVICES)~~~
617|||JUTE & MESTA~~~
14|||JUTE & MESTA, SANN HEMP OR OTHER KINDRED FIBER'S~~~
17102|||JUTE & OTHER NATURAL FIBRE TEXTILE: PREPARATION, PRESSING, BAILING, SPINNING AND WEAVING OF JUTE, ME~~~
51402|||JUTE AND MESTA)~~~
233|||JUTE TEXTILES INCLUDING PRESSING-, BALING, SPINNING, WEAVING, BLEACHING, DYEING, PRINTING AND MANUFACTURE OF JUTE, MESTA, HEMP AND OTHER VEGETABLE FIBER PRODUCTS SUCH AS ROPES, CORDAGE,TWINE,ETC~~~
74901|||LABOUR RECRUITMENT AND PROVISION)~~~
836|||LAND DEVELOPMENT BANKS-SLDBS AND PLDBS~~~
65905|||LAND DEVELOPMENT BANKS-SLDBS AND PLDBS)~~~
896|||LEASING COMPANIES~~~
92301|||LIBRARY, ARCHIVES, MUSEUMS AND OTHER CULTURAL ACTIVITIES)~~~
66001|||LIFE INSURANCE [THIS CLASS INCLUDES LIFE INSURANCE (INCLUDING REINSURANCE) AND OTHER LONG-TERM INSUR~~~
362|||LIGHT ENGINEERING -- INCLUDES MANUFACTURE OF:(I) LIGHT AGRICULTURAL MACHINERY, EQUIPMENT'S AND PARTS(II) REFRIGERATORS, DOMESTIC AND AUTOMOBILE AIR-CONDITIONERS, WATER COOLERS, ETC AND THEIR PARTS AND ACCESSORIES(III) FIRE FIGHTING EQUIPMENT'S, PARTS, COM~~~
45003|||LOAN FOR SETTING UP OF INDUSTRIAL ESTATES)~~~
94008|||LOANS ADVANCED THROUGH CREDIT CARDS)~~~
67105|||LOANS FOR ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION EXCEPT INSURANCE AND PENSION FUNDING[LIKE~~~
67201|||LOANS FOR ACTIVITIES AUXILIARY TO INSURANCE AND PENSION FUNDING [LIKE INSURANCE AGENTS, AVERAGE AND~~~
94004|||LOANS FOR PURCHASE OF CONSUMER DURABLE GOODS EXCLUDING THOSE GIVEN TO STAFF MEMBERS (LOAN AVAILED BY~~~
993|||LOANS FOR PURCHASE OF CONSUMER DURABLE GOODS EXCLUDING THOSE GIVEN TO STAFF MEMBERS (LOAN AVAILED OF BY A DOCTOR FOR PURCHASE GIVEN TO STAFF MEMBERS (LOAN AVAILED OF BY A DOCTOR FOR PURCHASE WHEREAS A REFRIGERATOR TO BE USED IN HIS CLINIC FOR PROFESSIONAL~~~
94003|||LOANS FOR PURCHASE OF MOTOR VEHICLE BY INDIVIDUALS FOR PERSONAL USE (MOTOR VEHICLE INCLUDING TWO-WHE~~~
998|||LOANS TO STAFF FOR PURPOSES OTHER THAN HOUSING INCLUDING THOSE AGAINST FDRS, SHARES ETC~~~
94006|||LOANS TO STAFF FOR PURPOSES OTHER THAN HOUSING INCLUDING THOSE AGAINST FDRS, SHARES ETC.)~~~
65104|||LOCAL AREA BANKS)~~~
51502|||MACHINERY, EQUIPMENT AND  SUPPLIES (OTHER THAN AGRICULTURAL  MACHINERY AND EQUIPMENT))~~~
50003|||MAINTENANCE AND REPAIR OF MOTOR VEHICLES, TWO- AND THREE-WHEELERS [INCLUDING WASHING AND POLISHING E~~~
72501|||MAINTENANCE AND REPAIR OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY)~~~
130|||MANGANESE ORE MINING~~~
15402|||MANUFACTURE AND REFINING OF SUGAR & SUGAR PRODUCTS (VACUUM PAN SUGAR FACTORIES) AND BY-PRODUCTS INCL~~~
31401|||MANUFACTURE OF ACCUMULATORS, PRIMARY CELLS AND PRIMARY BATTERIES)~~~
35301|||MANUFACTURE OF AIRCRAFT AND SPACECRAFT - INCLUDING FLYING BALLOONS, GLIDERS, HANG GLIDERS AND OTHER~~~
15409|||MANUFACTURE OF ALL OTHER FOOD PRODUCTS N.E.C. LIKE GRINDING AND PROCESSING OF SPICES; PAPADS, APPALA~~~
19202|||MANUFACTURE OF ALL OTHER TYPES OF FOOTWEAR: INCLUDES MANUFACTURE OF FOOTWEAR MADE PRIMARILY OF VULCA~~~
26903|||MANUFACTURE OF ARTICLES OF CONCRETE, CEMENT AND PLASTER INCLUDING ASBESTOS CEMENT AND ITS PRODUCTS,~~~
24101|||MANUFACTURE OF BASIC CHEMICALS EXCEPT FERTILIZERS AND NITROGEN COMPOUNDS (HEAVY INDUSTRY ORGANIC OR~~~
27101|||MANUFACTURE OF BASIC IRON & STEEL (SMELTING, ROLLING, RE-ROLLING, COLD ROLLING, WIRE DRAWING ETC.)-~~~
27201|||MANUFACTURE OF BASIC PRECIOUS AND NON-FERROUS METALS LIKE COPPER, ALUMINUM, ZINC, BRASS ETC.(SMELTIN~~~
35909|||MANUFACTURE OF BICYCLES (INCLUDING RACING BICYCLES AND CHILDREN’S BICYCLES), CYCLE RICKSHAWS AND INV~~~
34201|||MANUFACTURE OF BODIES (COACH WORK) FOR MOTOR VEHICLES; MANUFACTURE OF TRAILERS AND SEMI-TRAILERS; MA~~~
20202|||MANUFACTURE OF BUILDERS' CARPENTRY AND JOINERY: MANUFACTURE OF STRUCTURAL WOODEN GOODS (INCLUDING TR~~~
341|||MANUFACTURE OF CEMENT~~~
