Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Industry Linkage
RBIINDID|||RBIINDNAME|||Indtypeid~~~
11101|||EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS )|||142~~~
11201|||SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION EXCLUDING SURVEYING)|||142~~~
12|||SUGARCANE OR SUGARBEET|||0.1~~~
120|||IRON ORE MINING|||1.0~~~
12001|||MINING OF URANIUM AND THORIUM ORES(E.G. PITCHBLENDE),INCLUDING CONCENTRATION OF SUCH ORES)|||142~~~
13|||COTTON - CULTIVATION|||0.1~~~
130|||MANGANESE ORE MINING|||1.0~~~
13101|||MINING OF IRON ORES [INCLUDES MINING OF HEMATITE, MAGNETITE, LIMONITE, SIDERITE OR TACONITE ETC. WHI|||142~~~
13201|||MINING OF NON-FERROUS METAL ORES N.E.C. - INCLUDES MANGANESE ORES, CHROMIUM ORES; ALUMINUM ORES (BAU|||142~~~
14|||JUTE & MESTA, SANN HEMP OR OTHER KINDRED FIBER'S|||0.1~~~
140|||EXTRACTION OF CRUDE PETROLEUM AND PRODUCTION OF NATURAL GAS|||1.0~~~
14101|||MINING & QUARRYING OF STONE (ROCK AGGREGATES), SAND, CLAYS AND OTHER MINERALS FOR CONSTRUCTION [ INC|||142~~~
14201|||MINING OF CHEMICALS AND FERTILIZERS [INCLUDES MINING OF NATIVE SULPHUR OR PYRITE AND PYRRHOTITES VAL|||142~~~
14202|||EXTRACTION OF SALT [ INCLUDES SALT MINING, CRUSHING AND SCREENING  AND SALT PRODUCTION BY SOLAR EVAP|||142~~~
14203|||OTHER MINING AND QUARRYING N.E.C. [INCLUDES MINING OF PRECIOUS STONES (AGATE, DIAMOND, EMERALD, GARN|||142~~~
15|||OILSEEDS - CULTIVATION|||0.1~~~
15101|||MEAT: SLAUGHTERING, PREPARATION AND PRESERVATION OF MEAT [INCLUDES MUTTON, BEEF, PORK, POULTRY AND O|||370~~~
15102|||FISH: PROCESSING, CANNING, FREEZING AND PRESERVING OF FISH, CRUSTACEAN AND SIMILAR FOODS [INCLUDES S|||3.0~~~
15103|||FRUITS & VEGETABLES: PROCESSING, CANNING AND PRESERVING OF FRUITS AND VEGETABLES [INCLUDES SUN DRYIN|||3.0~~~
15104|||OILS & FATS: MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS [ INCLUDES MANUFACTURE OF HYDROGENATE|||3.0~~~
15201|||DAIRY PRODUCTS: MANUFACTURE OF DAIRY PRODUCTS [INCLUDES MILK POWDER, ICE-CREAM POWDER, CONDENSED MIL|||2.0~~~
15301|||GRAIN MILL PRODUCTS: MANUFACTURE OF GRAIN MILL PRODUCTS [ INCLUDES FLOUR, RICE AND DAL  MILLING; HUS|||2.0~~~
15302|||STARCH AND STARCH PRODUCTS: MANUFACTURE OF STARCHES AND STARCH PRODUCT [ INCLUDES SAGO AND SAGO PROD|||3.0~~~
15401|||MANUFACTURE OF CONFECTIONERY PRODUCT, BAKERY PRODUCTS, BISCUITS, CAKES, PASTRIES, CONFECTIONERY PROD|||2.0~~~
15402|||MANUFACTURE AND REFINING OF SUGAR & SUGAR PRODUCTS (VACUUM PAN SUGAR FACTORIES) AND BY-PRODUCTS INCL|||2.0~~~
15403|||MANUFACTURE OF INDIGENOUS SUGAR, 'BOORA', 'GUR' AND 'KHANDSARI' FROM SUGARCANE OR OTHER THAN SUGAR C|||2.0~~~
15404|||MANUFACTURE OF COCOA, CHOCOLATE AND SUGAR CONFECTIONERY INCLUDING MANUFACTURE OF SWEETMEATS, CHEWING|||3.0~~~
15405|||MANUFACTURE OF SEMI-PROCESSED AND READY TO EAT FOOD ITEMS LIKE MACARONI, NOODLES, CORN-FLAKES, AND O|||3.0~~~
15406|||TEA PROCESSING AND BLENDING(INCLUDING MANUFACTURING OF INSTANT TEA) UNITS WHICH DO NOT HAVE THEIR OW|||2.0~~~
15407|||COFFEE CURING, ROASTING , GRINDING AND BLENDING ETC. INCLUDING MANUFACTURE OF INSTANT COFFEE, CHICOR|||3.0~~~
15408|||PROCESSING OF EDIBLE NUTS)|||2.0~~~
15409|||MANUFACTURE OF ALL OTHER FOOD PRODUCTS N.E.C. LIKE GRINDING AND PROCESSING OF SPICES; PAPADS, APPALA|||3.0~~~
15501|||DISTILLING, RECTIFYING AND BLENDING OF SPIRITS; ETHYL ALCOHOL PRODUCTION FROM FERMENTED MATERIALS; M|||3.0~~~
15502|||MANUFACTURE OF SOFT DRINKS (AERATED DRINKS, SYNTHETIC FLAVORED CONCENTRATES AND SYRUPS ETC.); MINERA|||2.0~~~
16|||TOBACCO - CULTIVATION|||0.1~~~
16001|||TOBACCO PROCESSING [ INCLUDES STEMMING, REDRYING ETC. OF TOBACCO LEAVES])|||2.0~~~
16002|||MANUFACTURING OF TOBACCO PRODUCTS [ INCLUDES MANUFACTURE OF BIDI, CIGARETTE AND CIGARETTE TOBACCO, C|||2.0~~~
16003|||MANUFACTURE OF CHEWING ITEMS LIKE PAN MASALA, SCENTED SUPARI, CATECHU (KATTHA), CHEWING LIME AND REL|||2.0~~~
17|||PULSES|||0.1~~~
17101|||COTTON TEXTILE: PREPARATION AND SPINNING OF COTTON FIBRE INCLUDING BLENDED COTTON; WEAVING, MANUFACT|||2.0~~~
17102|||JUTE & OTHER NATURAL FIBRE TEXTILE: PREPARATION, PRESSING, BAILING, SPINNING AND WEAVING OF JUTE, ME|||2.0~~~
17103|||SILK & SYNTHETIC TEXTILE: PREPARATION AND SPINNING OF SILK AND SYNTHETIC(MAN-MADE) FIBRES (RAYON, NY|||3.0~~~
17104|||WOOLEN TEXTILE: PREPARATION(CLEANING, BAILING, AND PROCESSING) AND SPINNING OF WOOL, INCLUDING OTHER|||2.0~~~
17105|||HANDLOOM TEXTILES AND KHADI (SPINNING WEAVING DYEING, PRINTING, ETC.))|||2.0~~~
17201|||MANUFACTURE OF MADE-UP TEXTILE ARTICLES, EXCEPT APPAREL SUCH AS CURTAINS, BED COVERS, UPHOLSTERY, BE|||2.0~~~
17202|||MANUFACTURE OF JUTE, MESTA, HEMP AND OTHER VEGETABLE FIBRE PRODUCTS SUCH AS ROPES, CORDAGE, TWINE, E|||3.0~~~
17203|||COIR AND COIR PRODUCTS INCLUDING COIR FIBRE AND YARN MATTING ETC.)|||3.0~~~
17204|||MANUFACTURE OF SHAWLS, BLANKETS, CARPETS, DURRIES, DRUGGETS AND RUGS)|||2.0~~~
17205|||MANUFACTURE OF THREAD, INCLUDING THREAD BALL MAKING, MANUFACTURE OF NETS (EXCLUDING MOSQUITO NETS);|||3.0~~~
17209|||EMBROIDERY WORK, MAKING OF LACES AND FRINGES; ZARI AND ZARI WORK; MAKING OF ORNAMENTAL TRIMMINGS;  M|||2.0~~~
17301|||MANUFACTURE OF KNITTED AND CROCHETED FABRICS AND ARTICLES – COTTON, WOOLEN, SYNTHETIC ETC. TEXTILE P|||2.0~~~
18|||FLORICULTURE AND HORTICULTURE INCLUDING TREE NURSERIES AND MEDICINAL PLANTS|||0.1~~~
180|||MINING AND QUARRYING OF ROCK AGGREGATES, SAND, CLAYS AND OTHER MINERALS FOR CONSTRUCTION|||1.0~~~
18101|||MANUFACTURE OF WEARING APPARELS, READY MADE GARMENTS (EXCEPT KHADI))|||2.0~~~
18102|||MANUFACTURE OF KHADI GARMENTS)|||2.0~~~
18201|||DRESSING (INCLUDES SCRAPING, CURING, TANNING, BLEACHING) AND DYEING OF FUR; MANUFACTURE OF ARTICLES|||3.0~~~
19|||ALL OTHER CROPS (INCLUDING VEGETABLES, SINGHARA, CHILIES, TUBERS LIKE POTATOES, ROOTS AND FODDER CROPS, ETC)|||0.1~~~
190|||OTHER MINING AND QUARRYING -- INCLUDES CHROMITE, BAUXITE, GOLD AND SILVER ORES, COPPER ORE, LEAD & ZINC ORES, OTHER METAL ORES, URANIUM & THORIUM ORES, FERTILIZERS & CHEMICAL MINERALS, CERAMICS, REFRACTORY & GLASS MINERALS, OTHER MINERAL MINING, SALT MINI|||1.0~~~
19101|||TANNING, CURING, FINISHING, EMBOSSING, JAPANNING AND DRESSING OF LEATHER: INCLUDES FLAYING AND CURIN|||2.0~~~
19102|||MANUFACTURE OF LEATHER AND LEATHER PRODUCTS (EXCLUDING FOOTWEAR) LIKE SUITCASES, HANDBAG, SADDLERY,|||2.0~~~
19201|||MANUFACTURE OF LEATHER FOOTWEAR: INCLUDES MANUFACTURE OF LEATHER SHOES, LEATHER SANDALS AND CHAPPALS|||2.0~~~
19202|||MANUFACTURE OF ALL OTHER TYPES OF FOOTWEAR: INCLUDES MANUFACTURE OF FOOTWEAR MADE PRIMARILY OF VULCA|||2.0~~~
201|||MANUFACTURING OF DAIRY PRODUCTS, BAKERY PRODUCTS, PASTRIES, CONFECTIONERY PRODUCTS, ICE CREAM, FROZEN DESSERTS, ETC|||2.0~~~
20101|||SAW MILLING AND PLANKING OF WOOD (OTHER THAN PLYWOOD); MANUFACTURE OF UNASSEMBLED WOOD FLOORING, INC|||2.0~~~
202|||PROCESSING, CANNING AND PRESERVATION OF FRUITS AND VEGETABLES|||2.0~~~
20201|||MANUFACTURE OF VENEER SHEETS; MANUFACTURE OF PLYWOOD, LAMINATED BOARD, PARTICLE BOARD AND OTHER PANE|||2.0~~~
20202|||MANUFACTURE OF BUILDERS' CARPENTRY AND JOINERY: MANUFACTURE OF STRUCTURAL WOODEN GOODS (INCLUDING TR|||2.0~~~
203|||CHEWING ITEMS LIKE PAN MASALA, SCENTED SUPARI, CHEWING LIME, CATECHU (KATTHA), ETC OTHER THAN TOBACCO PRODUCTS|||2.0~~~
204|||SLAUGHTERING, PREPARATION AND PRESERVATION OF MEAT|||2.0~~~
21|||TEA (TEA ESTATES/GARDENS HAVING CULTIVATION ACTIVITY ONLY AND WHICH DO NOT HAVE THEIR OWN PROCESSING UNITS) - CULTIVATION|||0.2~~~
21001|||MANUFACTURE OF PULP, PAPER AND PAPER BOARDS (INCLUDES PRINTING AND WRITING PAPER,  PACKAGING PAPER,|||2.0~~~
21002|||MANUFACTURE OF NEWSPRINT)|||2.0~~~
21003|||MANUFACTURE OF CORRUGATED PAPER AND PAPER BOARD AND OF CONTAINERS OF PAPER AND PAPER BOARD [INCLUDES|||2.0~~~
21004|||MANUFACTURE OF OTHER ARTICLES OF PAPER AND PAPER BOARD LIKE PAPER HOOPS AND CONES, PAPER CUPS, SAUCE|||2.0~~~
211|||RICE MILLS, FLOUR AND DAL MILLS -- INCLUDING HUSKING OF PADDY, FLOUR CHAKKIES|||2.0~~~
212|||PROCESSING, CANNING, FREEZING AND PRESERVATION OF FISH, CRUSTACEA AND SIMILAR FOODS|||2.0~~~
213|||SUGAR FACTORIES (MANUFACTURE AND REFINING) AND SUGAR PRODUCTS|||2.0~~~
214|||INDIGENOUS SUGAR,'BOORA','GUR' AND 'KHANDSARI' _ INCLUDES CANDY FROM PALM JUICE, SUGARCANE, ETC|||2.0~~~
215|||MANUFACTURE OF HYDROGENATED OILS, VANASPATI, GHEE AND OTHER EDIBLE OILS AND FATS SUCH AS MUSTARD OIL, COTTON SEED OIL, SEASAME OIL, SUNFLOWER OIL, SOYBEAN OIL, COCONUT OIL, GROUNDNUT OIL, FISH OIL, ANIMAL OILS AND FATS, ETC (NON-EDIBLE OILS ARE TO BE SHOW|||2.0~~~
216|||EDIBLE NUTS PROCESSING UNITS|||2.0~~~
217|||TEA PROCESSING -- LOANS GIVEN TO(I) TEA GARDENS/ESTATES HAVING CULTIVATION ACTIVITY AND THEIR OWN PROCESSING AND BLENDING (INCLUDING MANUFACTURE OF INSTANT TEA) UNITS AND(I) PROCESSING AND BLENDING (INCLUDING MANUFACTURE OF INSTANT TEA)UNITS WHICH DO NOT|||2.0~~~
218|||COFFEE CURING, ROASTING, GRINDING AND BLENDING ETC, INCLUDING MANUFACTURE OF INSTANT COFFEE|||2.0~~~
219|||OTHER FOOD MANUFACTURING AND PROCESSING INDUSTRIES -- INCLUDING(I) ANIMAL FEED, POULTRY FEED, STARCH, COCOA, CHOCOLATE AND SUGAR CONFECTIONERY(II) MANUFACTURING OF ICE(III) COMMON SALT(IV) SEMI-PROCESSED AND READY TO EAT FOOD ITEMS LIKE NOODLES, CORN-FLAK|||2.0~~~
22|||TEA (TEA ESTATES/GARDENS HAVING CULTIVATION ACTIVITY ONLY AND WHICH DO NOT HAVE THEIR OWN PROCESSING UNITS) - ESTATE|||0.2~~~
221|||DISTILLERIES, BREWERIES, SOFT DRINKS, SYRUPS AND CARBONATED WATER DRINKS' MANUFACTURE, WINE INDUSTRIES, COUNTRY LIQUOR, TEDDY, MALT LIQUOR, ETC|||2.0~~~
22101|||PUBLISHING OF BOOKS, BROCHURE, MUSICAL BOOKS AND OTHER PUBLICATIONS)|||2.0~~~
22102|||PUBLISHING OF NEWS PAPERS, PERIODICIALS, JOURNALS|||2.0~~~
22103|||PUBLISHING OF RECORDED MEDIA [INCLUDES PUBLISHING OF RECORDS AND OTHER RECORDED AUDIO MEDIA] )|||2.0~~~
222|||TOBACCO PROCESSING AND MANUFACTURING INCLUDING BIDI, CIGAR, CHEROOTS AND CIGARETTE MAKING, MANUFACTURE OF CHEWING TOBACCO,ZARDA,SNUFF AND OTHER TOBACCO PRODUCTS|||2.0~~~
22201|||PRINTING OF NEWSPAPERS, MAGAZINES, PERIODICALS, JOURNALS AND OTHER MATERIAL AND ALLIED ACTIVITIES N.|||2.0~~~
22301|||REPRODUCTION OF RECORDED MEDIA)|||2.0~~~
23|||COFFEE CULTIVATION|||0.2~~~
231|||COTTON GINNING, CLEANING AND BALING|||2.0~~~
23101|||MANUFACTURE OF COKE OR COKE OVEN PRODUCTS [INCLUDES THE OPERATION OF COKE OVENS CHIEFLY FOR THE PROD|||3.0~~~
232|||COTTON TEXTILES (SPINNING, WEAVING, DYEING, PRINTING, SHRINKING, SANFORIZING, BLEACHING, MERCERISING AND FINISHING, ETC) INCLUDING POWERLOOMS -- WEAVING AND FINISHING|||2.0~~~
23201|||MANUFACTURE OF REFINED PETROLEUM PRODUCTS)|||3.0~~~
233|||JUTE TEXTILES INCLUDING PRESSING-, BALING, SPINNING, WEAVING, BLEACHING, DYEING, PRINTING AND MANUFACTURE OF JUTE, MESTA, HEMP AND OTHER VEGETABLE FIBER PRODUCTS SUCH AS ROPES, CORDAGE,TWINE,ETC|||2.0~~~
23301|||PROCESSING OF NUCLEAR FUEL|||3.0~~~
234|||SILK AND SYNTHETIC FIBER'S AND TEXTILES (RAYON, NYLON, TERENE, ARTSILK, ETC) INCLUDING MIXED FIBER'S -- PROCESSING, SPINNING, WEAVING, DYEING, FINISHING, PRINTING, ETC|||2.0~~~
235|||WOOLEN AND WOOLEN BLENDED TEXTILES INCLUDING CLEANING, BALING AND PROCESSING, SPINNING, WEAVING, DYEING AND FINISHING IN MILLS AND POWERLOOMS|||2.0~~~
236|||COIR AND COIR PRODUCTS INCLUDING COIR FIBER AND YARN MATTING, CARPETS, ETC|||2.0~~~
237|||HANDLOOM TEXTILES AND KHADI (SPINNING, WEAVING, DYEING, PRINTING, ETC)|||2.0~~~
238|||READY MADE GARMENTS AND WEARING APPAREL AND OTHER MADE-UP TEXTILE GOODS SUCH AS CURTAINS, UPHOLSTERY|||2.0~~~
239|||OTHER TEXTILES AND TEXTILE GOODS -- INCLUDING(I) THREADS, NETS, MOSQUITO NETS, ETC(II) KNITTING MILLS -- COTTON AND WOOL(III) EMBROIDERY AND MAKING OF CREPES, LACES AND FRINGES, ZARI AND ZARI PRODUCTS, HOSIERY GOODS, SHAWLS, BLANKETS, ETC(IV) CARPETS, RUG|||2.0~~~
24|||COFFEE ESTATE|||0.2~~~
24101|||MANUFACTURE OF BASIC CHEMICALS EXCEPT FERTILIZERS AND NITROGEN COMPOUNDS (HEAVY INDUSTRY ORGANIC OR|||3.0~~~
24102|||MANUFACTURE OF TURPENTINE AND RESINS OF VEGETABLE ORIGIN)|||3.0~~~
24103|||MANUFACTURE OF FERTILIZERS AND NITROGEN COMPOUNDS)|||3.0~~~
24104|||MANUFACTURE OF PLASTIC IN PRIMARY FORM AND OF SYNTHETIC RUBBER : INCLUDES MANUFACTURE OF SYNTHETIC R|||3.0~~~
24201|||MANUFACTURE OF PESTICIDES AND OTHER AGRO CHEMICAL PRODUCTS)|||2.0~~~
24202|||MANUFACTURE OF PAINTS, VARNISHES AND SIMILAR COATINGS, PRINTING INK AND MASTICS)|||3.0~~~
24203|||MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS (INCLUDING 'AYURVEDIC', H|||3.0~~~
24204|||MANUFACTURE OF SOAPS OF ALL TYPE, WAXES & POLISHES, ORGANIC SURFACE-ACTIVE AGENTS (SURFACTANTS) AND|||3.0~~~
24211|||MANUFACTURE OF MATCHES & FIREWORKS, EXPLOSIVES, AMMUNITIONS )|||3.0~~~
24212|||NON-EDIBLE OILS: MANUFACTURE OF ESSENTIAL OILS, MODIFICATION BY CHEMICAL PROCESSES (E.G. BY OXIDATIO|||2.0~~~
24213|||MANUFACTURE OF PHOTOCHEMICAL, SENSITISED FILMS AND PAPERS)|||3.0~~~
24214|||MANUFACTURE OF GELATIN AND GELATIN DERIVATIVES, GLUES OF ANIMAL ORIGIN, PREPARED GLUES AND OTHER PRE|||3.0~~~
24219|||MANUFACTURE OF FINE CHEMICALS AND OTHER CHEMICAL PRODUCTS N.E.C. (INCLUDING ANTI-KNOCK PREPARATIONS,|||3.0~~~
24301|||MANUFACTURE OF MAN-MADE FIBRES [THIS CLASS INCLUDES MANUFACTURE OF ARTIFICIAL OR SYNTHETIC FILAMENT|||3.0~~~
25|||RUBBER - CULTIVATION|||0.2~~~
25101|||MANUFACTURE OF RUBBER TYRES, TUBES; RETARDING OF TYRES; REPLACING OF PNEUMATIC TYRES AND SOLID OR CU|||2.0~~~
25102|||MANUFACTURE OF OTHER RUBBER PRODUCTS LIKE RUBBER PLATES, SHEETS, STRIPS, RODS, TUBES, PIPES, HOSES A|||2.0~~~
25201|||MANUFACTURE OF PLASTIC PRODUCTS - INCLUDES MANUFACTURE OF SEMI-FINISHED PRODUCTS, PACKING PRODUCTS,|||3.0~~~
25202|||MANUFACTURE OF FIBRE GLASS AND PRODUCTS)|||2.0~~~
26|||RUBBER - ESTATE|||0.2~~~
26101|||MANUFACTURE OF GLASS AND GLASS PRODUCTS INCLUDING GLASS FIBRE, FLOAT GLASS AND PRODUCTS)|||2.0~~~
26901|||MANUFACTURE OF NON-STRUCTURAL NON-REFRACTORY CERAMIC WARE - INCLUDES ARTICLES OF PORCELAIN OR CHINA,|||2.0~~~
26902|||MANUFACTURE OF CEMENT, LIME AND PLASTER)|||3.0~~~
26903|||MANUFACTURE OF ARTICLES OF CONCRETE, CEMENT AND PLASTER INCLUDING ASBESTOS CEMENT AND ITS PRODUCTS,|||3.0~~~
26904|||CUTTING, SHAPING AND FINISHING OF STONE [INCLUDES CUTTING, SHAPING AND FINISHING STONE FOR USE IN CO|||2.0~~~
26905|||MANUFACTURE OF MICA AND MICA PRODUCTS; GYPSUM BOARDS; MILLSTONES, SHARPENING OR POLISHING STONES AND|||2.0~~~
27|||FRUITS - CULTIVATION|||0.2~~~
27101|||MANUFACTURE OF BASIC IRON & STEEL (SMELTING, ROLLING, RE-ROLLING, COLD ROLLING, WIRE DRAWING ETC.)-|||3.0~~~
27201|||MANUFACTURE OF BASIC PRECIOUS AND NON-FERROUS METALS LIKE COPPER, ALUMINUM, ZINC, BRASS ETC.(SMELTIN|||3.0~~~
27301|||CASTING OF IRON AND STEEL)|||3.0~~~
27302|||CASTING OF NON-FERROUS METALS)|||3.0~~~
28|||FRUITS - ESTATE|||0.2~~~
281|||PAPER AND PAPER PRODUCTS -- INCLUDING NEWS PRINT, PAPER BOARDS, HARD BOARDS, PULP PRODUCTS, PAPER BOARD ARTICLES, STRAW BOARDS, CARD BOARDS, PAPER BASED PACKAGING PRODUCTS, ETC|||2.0~~~
28101|||MANUFACTURE OF STRUCTURAL METAL PRODUCTS)|||3.0~~~
282|||PRINTING AND ALLIED ACTIVITIES, EMBOSSING AND ETCHING, BOOKBINDING, BLOCK MAKING, ETC|||2.0~~~
283|||NEWSPAPER AND MAGAZINE PUBLICATIONS, PUBLISHING OF BOOKS, PERIODICALS, JOURNALS, ATLAS BOOKS, MAPS, DIRECTORIES, EXERCISE BOOKS, ETC|||2.0~~~
28901|||FORGING, PRESSING , STAMPING AND ROLL-FORMING OF METAL; POWDER METALLURGY)|||2.0~~~
291|||PROCESSING AND TANNING OF LEATHER -- INCLUDES TANNING, CURING, FINISHING, EMBOSSING, JAPANNING, ETC, SCRAPPING, CURRYING, TANNING, BLEACHING AND DYEING OF FUR AND OTHER PELTS FOR THE TRADE|||2.0~~~
29101|||MANUFACTURE OF ENGINES AND TURBINES (EXCEPT AIRCRAFT, VEHICLE AND CYCLE ENGINES) ITS PARTS AND ACCES|||3.0~~~
29109|||MANUFACTURE OF REFRIGERATORS OR FREEZING EQUIPMENT & FURNITURE DESIGNED TO ACCOMMODATE IT; FIRE EXTI|||3.0~~~
292|||MANUFACTURE OF LEATHER AND LEATHER PRODUCTS (INCLUDING FOOTWEAR AND WEARING APPAREL) -- INCLUDE FUR AND PELT PRODUCTS, LEATHER-CUM-PLASTIC PRODUCTS|||2.0~~~
29201|||MANUFACTURE OF TRACTORS, HARVESTERS AND OTHER HEAVY MACHINERY FOR USE IN AGRICULTURAL AND FORESTRY)|||3.0~~~
29202|||MANUFACTURE OF MACHINE-TOOLS)|||2.0~~~
29203|||MANUFACTURE OF MACHINERY (AND PARTS) FOR MINING, QUARRYING AND CONSTRUCTION )|||3.0~~~
29204|||MANUFACTURE OF MACHINERY FOR FOOD(INCLUDING RICE, SUGAR, FLOUR MILL ETC.), BEVERAGE (TEA, COFFEE MAC|||3.0~~~
29205|||MANUFACTURE OF MACHINERY FOR TEXTILE, APPAREL AND LEATHER PRODUCTION )|||3.0~~~
29206|||MANUFACTURE OF LIGHT AGRICULTURAL AND FORESTRY MACHINERY AND EQUIPMENT INCLUDING FORAGE PRESS: PLOUG|||2.0~~~
29207|||MANUFACTURE OF MACHINERY FOR METALLURGY: CONVERTERS, INGOT MOULDS, LADLES AND CASTING MACHINES; META|||3.0~~~
29208|||MANUFACTURE OF WEAPONS AND AMMUNITION )|||3.0~~~
29209|||MANUFACTURE OF OTHER SPECIAL PURPOSE MACHINERY N.E.C. INCLUDING PARTS & ACCESSORIES)|||2.0~~~
29301|||MANUFACTURE OF DOMESTIC APPLIANCES, N.E.C. - INCLUDES OIL STOVES, HURRICANE LANTERNS AND OIL PRESSUR|||2.0~~~
